id,name,type,status,commerce,size,region,city,state,tamanio
1704,BODEGAZO CD,TIENDA,0,PYCCA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1705,P.S. MACHALA - GRAN PIAZZA,TIENDA,1,PET STATION,192.5,PROV. COSTA,MACHALA,EL ORO,MEDIANO
1706,MACHALA - GRAN PIAZZA,TIENDA,1,PYCCA,1394.16,PROV. COSTA,MACHALA,EL ORO,GRANDE
1707,POLIP. MACHALA- GRAN PIAZZA,TIENDA,1,POLIPAPEL,78.33,PROV. COSTA,MACHALA,EL ORO,PEQUEÑO
1708,P.S. PORTAL SHOPPING,TIENDA,1,PET STATION,141.37,QUITO,QUITO,PICHINCHA,MEDIANO
1711,BODEGA PET STATION - ALMAX,BODEGA,1,BODEGA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1712,POLIP. HIPER - VIA LA COSTA,TIENDA,1,POLIPAPEL,82.37,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1713,POLIP. PORTAL SHOPPING,TIENDA,1,POLIPAPEL,146.12,QUITO,QUITO,PICHINCHA,MEDIANO
1714,PC BY PS - MALL DEL SOL,TIENDA,1,PET STATION,23.26,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1715,P.S. V COSTA KM 20,TIENDA,1,PET STATION,209.78,GUAYAQUIL,GUAYAQUIL,GUAYAS,MEDIANO
1716,P.S. ANIMALOPOLIS C. CELESTE,BODEGA,1,BODEGA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1717,P.S. ANIMALOPOLIS URDESA,BODEGA,1,BODEGA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
